"E6010100","E6010200","E6010300","E6010400","E6010500","E6010600","E6010700","E6010800","E6010900","E6011000","E6011100","E6011200","E6011300","E6011400","E6011500","E6011600","E6011700","E6011800","E6011900","E6012000","E6012100","E6012200","E6012300","E6012400","E6012500","E6012600","E6012700","E6012800","E6012900","E6013000","E6013100","E6013200","E6013300","E6013400","E6013500","H0001600","H0003200","H0003300","H0003400","H0014700","R0000100","R0000600","R0009600","R0017300","R0173600","R0214700","R0214800","R0215310","R0216701","R0217502","R0304900","R0307100","R0407510","R0481600","R0618200","R0618300","R0618301","R0618901","R0898201","R1145001","R1520201","R1774000","R1890901","R1892220","R2258001","R2445401","R2734200","R2871101","R3074801","R3127300","R3127500","R3146100","R3279401","R3401501","R3403500","R3656901","R3657700","R4007401","R4008200","R4418501","R5103900","R5166901","R5626201","R6479600","R6480400","R7007300","R7704600","T0912400"
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5127,5032,4,1,32,21,19,14,8,1,2,360,14,5,-5,-5,-5,501,-4,-4,-4,16,16,16,16,100,16,13,16,17,1,17,17,-5,-5,-5,-5,-5,-5,-5,-5,18,5160,18,18,18,31000,-5,-5,-5,-5,35000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,6424,3778,1,1,33,16,19,9,4,1,1,200,9,4,-5,-5,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,12,-3,12,0,12,12,12,-1,-5,-5,-5,-5,0
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,757,757,639,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5550,5783,2,1,34,20,3,13,1,3,1,1625,13,4,1,0,5,510,15,13,6069,13,13,13,13,200,13,11,13,13,0,13,13,612,1,0,5000,13,15,13,2024,13,2205,13,13,13,24000,13,3645,13,13,279816
-4,609,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35,15,3,9,5,3,2,-4,9,4,0,0,0,504,45,44,53046,11,12,13,13,125,13,2,13,13,0,13,13,591,1,0,23000,13,2,13,1600,13,1920,13,13,13,19000,13,4850,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,648,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5658,6076,1,1,36,16,3,9,1,3,1,325,9,5,4,1,2,600,-4,-4,-4,12,12,12,12,150,12,10,-5,12,0,12,12,621,1,0,-2,12,14,12,1755,12,1960,12,12,12,19000,12,4040,12,12,0
-4,-4,378,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5762,5151,2,0,37,20,6,12,5,3,2,2560,12,4,0,0,1,507,60,59,56290,12,12,12,12,130,12,3,12,12,0,12,12,201,1,0,21000,12,3,12,0,12,0,12,12,12,0,12,1000,12,12,37000
-4,-4,-4,-4,-4,927,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5682,5789,1,0,38,16,6,9,5,3,2,0,9,4,0,0,0,504,17,13,12788,11,12,12,12,118,12,4,12,12,0,12,12,910,2,0,22800,12,7,12,1575,12,1820,12,12,12,30000,12,4161,12,12,70000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,669,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,6109,4560,2,-4,39,20,3,12,1,3,1,3474,12,4,-5,-5,-5,511,35,29,26851,12,12,12,12,180,12,13,12,12,0,12,12,641,1,0,45000,12,13,12,3710,12,54,12,12,12,54000,12,4520,12,12,67000
-4,-4,-4,-4,-4,-4,-4,917,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5723,5593,1,0,40,19,12,12,2,3,1,618,12,3,0,0,5,507,38,38,38419,13,13,13,13,160,13,6,13,13,0,13,13,901,2,0,750,13,8,13,630,13,483,13,13,13,2500,13,5246,14,14,0
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,757,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5721,5347,2,0,41,16,12,10,2,3,1,525,10,3,5,0,5,602,45,54,57095,12,12,12,12,205,12,9,13,15,0,15,15,751,1,0,35000,15,12,15,1800,15,2860,15,15,15,67000,-5,-5,15,15,120000
-4,-4,-4,-4,-4,77,67,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5550,5783,2,1,42,15,28,8,1,3,1,-4,8,4,5,0,1,511,20,16,22326,10,11,12,12,230,12,5,12,12,0,12,12,60,1,0,30000,12,7,12,2160,12,2205,12,12,12,35000,12,5500,12,12,45000
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,669,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2669,3930,4,1,43,17,28,11,6,3,2,230,11,5,0,0,4,507,9,13,15325,12,12,12,12,140,12,7,12,12,0,12,12,641,1,0,960,12,14,12,340,12,210,12,12,12,0,12,2040,12,12,0
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5612,4795,2,1,44,17,3,11,5,3,2,180,11,4,0,0,2,504,42,37,37061,12,12,12,12,107,12,5,12,12,0,12,12,-4,-4,0,0,12,5,12,240,12,902,12,-5,12,-1,12,0,12,12,7200
-4,-4,-4,-4,-4,-4,127,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,45,19,5,12,1,3,1,1200,12,3,0,0,1,510,43,49,50629,12,12,12,12,208,12,3,12,12,0,12,12,251,1,0,40000,12,7,12,830,12,2400,12,12,-5,-5,-5,-5,-5,-5,-5
-4,-4,-4,-4,838,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5682,5789,1,-4,46,16,5,9,5,3,2,5,9,3,0,0,2,502,58,63,78095,11,12,13,14,122,15,3,16,16,1,16,17,831,2,0,32000,17,5,18,1760,19,2120,19,19,19,18000,19,2304,19,19,42000
-4,-4,-4,-4,-4,-4,227,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5723,5593,1,1,47,20,3,12,1,3,1,2480,12,3,2,1,3,601,78,77,75473,12,12,12,12,198,12,7,12,12,0,12,12,352,1,1,40000,12,7,12,1240,12,2700,12,12,12,54000,12,6300,12,12,66309
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,48,20,5,12,2,3,1,2064,12,2,0,0,3,-5,36,32,24806,-5,12,12,-5,-5,-5,-5,-5,-5,-5,-5,12,-5,-5,-5,-5,-5,-5,12,1140,12,0,12,12,-5,-5,-5,-5,-5,-5,-5
-4,-4,-4,-4,-4,849,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5591,5587,2,1,49,20,6,14,5,3,2,1812,14,2,0,0,5,509,81,66,71226,14,14,14,14,150,14,6,14,14,0,14,14,841,1,0,19200,14,6,14,1126,14,1372,14,14,14,31191,14,3675,14,14,34000
-4,-4,717,-4,778,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5690,5077,2,1,50,20,6,9,5,3,2,2400,12,4,0,0,1,505,87,79,78742,12,12,12,12,190,12,3,12,12,0,12,12,711,1,0,2600,12,5,12,3431,12,2650,12,12,12,10000,12,4580,12,12,0
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,51,16,6,8,1,3,1,534,8,4,-5,-5,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,52,20,5,14,1,3,1,1560,14,1,0,0,1,600,89,86,69080,14,14,14,14,190,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4771,1937,4,-4,53,15,19,7,4,1,1,-4,7,7,6,0,3,509,38,41,43641,7,7,7,7,220,12,13,12,12,0,12,12,-4,-4,0,3800,12,19,12,0,12,0,12,12,12,0,12,0,12,12,325
-4,-4,-4,-4,68,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,5484,5978,2,0,54,20,22,10,1,3,1,-3,10,2,0,0,2,601,-4,-4,-4,10,10,10,10,185,10,4,10,10,0,10,10,60,2,0,30000,10,5,10,1720,10,2680,10,-5,10,0,10,3560,10,10,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,55,20,12,12,1,3,1,1840,12,4,-5,-5,-5,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,56,14,12,8,5,3,2,-4,8,4,0,0,1,505,44,56,76020,10,11,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
